ticker,as_of,window,trend_score,signal,id
067390,2026-02-26 11:22:42,1D,26.13,SELL,067390
018000,2026-02-26 11:22:42,1D,61.13,BUY,018000
222080,2026-02-26 11:22:42,1D,26.38,SELL,222080
330350,2026-02-26 11:22:42,1D,38.36,SELL,330350
069540,2026-02-26 11:22:42,1D,30.02,SELL,069540
024840,2026-02-26 11:22:42,1D,42.79,HOLD,024840
178320,2026-02-26 11:22:42,1D,32.07,SELL,178320
246690,2026-02-26 11:22:42,1D,49.03,HOLD,246690
339950,2026-02-26 11:22:42,1D,46.19,HOLD,339950
047770,2026-02-26 11:22:42,1D,41.51,HOLD,047770
086520,2026-02-26 11:22:42,1D,61.41,BUY,086520
340930,2026-02-26 11:22:42,1D,46.56,HOLD,340930
025980,2026-02-26 11:22:42,1D,40.13,HOLD,025980
046120,2026-02-26 11:22:42,1D,56.55,HOLD,046120
032680,2026-02-26 11:22:42,1D,33.77,SELL,032680
319400,2026-02-26 11:22:42,1D,41.65,HOLD,319400
072470,2026-02-26 11:22:42,1D,39.14,SELL,072470
241520,2026-02-26 11:22:42,1D,47.88,HOLD,241520
038500,2026-02-26 11:22:42,1D,57.81,HOLD,038500
462860,2026-02-26 11:22:42,1D,36.21,SELL,462860
476060,2026-02-26 11:22:42,1D,51.76,HOLD,476060
003380,2026-02-26 11:22:42,1D,56.41,HOLD,003380
273060,2026-02-26 11:22:42,1D,36.11,SELL,273060
321370,2026-02-26 11:22:42,1D,35.41,SELL,321370
302550,2026-02-26 11:22:42,1D,38.22,SELL,302550
417200,2026-02-26 11:22:42,1D,58.48,HOLD,417200
045390,2026-02-26 11:22:42,1D,56.01,HOLD,045390
253590,2026-02-26 11:22:42,1D,59.03,HOLD,253590
019570,2026-02-26 11:22:42,1D,46.75,HOLD,019570
089150,2026-02-26 11:22:42,1D,36.18,SELL,089150
267320,2026-02-26 11:22:42,1D,42.71,HOLD,267320
088130,2026-02-26 11:22:42,1D,45.22,HOLD,088130
238120,2026-02-26 11:22:42,1D,25.63,SELL,238120
050090,2026-02-26 11:22:42,1D,56.3,HOLD,050090
313760,2026-02-26 11:22:42,1D,45.01,HOLD,313760
